频率,CSAMT电阻率,电流,E振幅,广域电阻率
1,770.16,25.46,43.5274,239.723372973865
2,340.79,25.46,45.5578,3.11999928257094
4,178.23,25.46,54.1683,6.49188491666186
8,115.34,25.46,73.7786,12.874699751718
16,84.352,25.46,108.868,26.6566411640836
32,86.735,25.46,171.22,53.376209270185
64,104.54,25.46,246.904,106.881374176414
128,138.31,25.46,300.905,207.301438907925
256,194.1,25.46,329.929,403.991852315383
512,270.48,25.44,235.125,811.489508397364
1024,426.18,19.04,211.436,1617.74925655196
2048,1877.3,11.31,418.856,3145.16546011942
4096,2225.5,6.04,719.039,6355.00363227102
8192,3861.4,2,6881.7,12752.8163510706
